"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD010607.PUB2","Interventions for treating hyperemesis gravidarum: a Cochrane systematic review and meta-analysis","Hyperemesis gravidarum","Hyperemesis gravidarum","Not specified (the paper does not provide a TCM equivalent or description for hyperemesis gravidarum)","Not specified (the paper does not provide a TCM equivalent or description for hyperemesis gravidarum)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.cd012057.pub2","Acupuncture for neuropathic pain in adults","Chronic peripheral neuropathic pain, specifically diabetic peripheral neuropathy","Chronic peripheral neuropathic pain, specifically diabetic peripheral neuropathy","Not specified (the paper does not provide a TCM equivalent for the conditions studied)","Not specified (the paper does not provide a TCM equivalent for the conditions studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD012225","Electrotherapy modalities for rotator cuff disease (Review)","Rotator cuff disease (including subacromial impingement syndrome, rotator cuff tendinitis, calcific tendinitis)","Rotator cuff disease (including subacromial impingement syndrome, rotator cuff tendinitis, calcific tendinitis)","Not specified (the paper does not provide a TCM equivalent for rotator cuff disease)","Not specified (the paper does not provide a TCM equivalent for rotator cuff disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/1529-0131(200104)44:4<819::AID-ANR138>3.0.CO;2-P","Acupuncture for Osteoarthritis of the Knee A Systematic Review","Osteoarthritis (OA) of the knee","Osteoarthritis (OA) of the knee","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/acr.20225","A Randomized Controlled Trial of Acupuncture for Osteoarthritis of the Knee: Effects of Patient-Provider Communication","Knee Osteoarthritis","Knee Osteoarthritis","Not specified (the paper does not provide a TCM-specific term for the condition)","Not specified (the paper does not provide a TCM-specific term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/art.1790070304","Acupuncture for the Treatment of Pain of Osteoarthritic Knees","Osteoarthritis (OA) of the knee","Osteoarthritis (OA) of the knee","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/art.22154","Acupuncture in Patients With Osteoarthritis of the Knee or Hip A Randomized, Controlled Trial With an Additional Nonrandomized Arm","Osteoarthritis (OA) of the knee or hip","Osteoarthritis (OA) of the knee or hip","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/art.24009","Acupuncture for Pain Relief in Patients With Rheumatoid Arthritis: A Systematic Review","Rheumatoid Arthritis (RA)","Rheumatoid Arthritis (RA)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/art.24675","Naturopathic Treatment of Rotator Cuff Tendinitis Among Canadian Postal Workers: A Randomized Controlled Trial","Rotator cuff tendinitis","Rotator cuff tendinitis","Not specified (the paper does not provide a TCM equivalent or description for rotator cuff tendinitis)","Not specified (the paper does not provide a TCM equivalent or description for rotator cuff tendinitis)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/cncr.26550","Randomized Controlled Trial of Acupuncture for Prevention of Radiation-Induced Xerostomia Among Patients With Nasopharyngeal Carcinoma","Xerostomia (dry mouth)","Xerostomia (dry mouth)","Not specified (the paper does not provide a TCM equivalent for xerostomia)","Not specified (the paper does not provide a TCM equivalent for xerostomia)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/cncr.28352","Patient-Reported Outcomes in Women With Breast Cancer Enrolled in a Dual-Center, Double-Blind, Randomized Controlled Trial Assessing the Effect of Acupuncture in Reducing Aromatase Inhibitor-Induced Musculoskeletal Symptoms","Breast Cancer","Breast Cancer","Not specified (the paper does not provide a TCM equivalent for the conditions being studied)","Not specified (the paper does not provide a TCM equivalent for the conditions being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/cncr.28917","Electroacupuncture for Fatigue, Sleep, and Psychological Distress in Breast Cancer Patients With Aromatase Inhibitor-Related Arthralgia: A Randomized Trial","Not specified (the paper focuses on symptoms related to breast cancer and aromatase inhibitors but does not specify a single primary medical condition or disease)","Aromatase Inhibitor-pain","Not specified (the paper does not provide a TCM diagnosis or terminology for the condition being studied)","Not specified (the paper does not provide a TCM diagnosis or terminology for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/cncr.28973","Randomized, Placebo-Controlled Trial of K1 Acupoint Acustimulation to Prevent Cisplatin-Induced or Oxaliplatin-Induced Nausea","Liver cancer (primary or metastatic)","Liver cancer (primary or metastatic)","Not specified (the paper does not explicitly state a TCM disease or condition)","Not specified (the paper does not explicitly state a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/cncr.29630","Systematic Review of Acupuncture to Control Hot Flashes in Cancer Patients","Hot flashes (HFs)","Hot flashes (HFs)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/ejp.671","Local and distant acupuncture points stimulation for chronic musculoskeletal pain: A systematic review on the comparative effects","Chronic musculoskeletal pain (CMP)","Chronic musculoskeletal pain (CMP)","Not specified (the paper does not explicitly mention a TCM condition or disease)","Not specified (the paper does not explicitly mention a TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/hbm.10098","An fMRI Study Comparing Brain Activation Between Word Generation and Electrical Stimulation of Language-Implicated Acupoints","Not specified (the paper focuses on language disorders but does not specify a particular Western medical condition or disease)","Healthy volunteers","Language disorders","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/j.1532-2149.2012.00215.x","Does acupuncture activate endogenous analgesia in chronic whiplash-associated disorders? A randomized crossover trial","Chronic whiplash-associated disorders (WAD)","Chronic whiplash-associated disorders (WAD)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/lary.25252","Intraoperative Acupuncture for Posttonsillectomy Pain: A Randomized, Double-Blind, Placebo-Controlled Trial","Postoperative pain following tonsillectomy","Postoperative pain following tonsillectomy","Not specified (the paper does not explicitly translate the conditions into Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly translate the conditions into Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/mds.20503","Evaluation of Acupuncture in the Treatment of Parkinson's Disease: A Double-Blind Pilot Study","Parkinson's Disease","Parkinson's Disease","Depletion of energy in the liver, spleen, and kidney","Depletion of energy in the liver, spleen, and kidney","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/mds.21993","Effectiveness of Acupuncture for Parkinson Disease: a Systematic Review","Parkinson disease (PD)","Parkinson disease (PD)","Not specified (the paper does not provide TCM terminology for Parkinson's disease)","Not specified (the paper does not provide TCM terminology for Parkinson's disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/nau.10105","Acupuncture Reflexotherapy in the Treatment of Sensory Urgency That Persists After Transurethral Resection of the Prostate: A Preliminary Report","Sensory urgency persisting after transurethral resection of the prostate (TURP)","Sensory urgency persisting after transurethral resection of the prostate (TURP)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/nau.20108","Acupuncture for Nocturnal Enuresis in Children: A Systematic Review and Exploration of Rationale","Nocturnal Enuresis","Nocturnal Enuresis","Not specified (the paper discusses nocturnal enuresis in the context of TCM principles but does not provide a specific TCM term for the condition)","Not specified (the paper discusses nocturnal enuresis in the context of TCM principles but does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
